year,state,state_po,county_name,candidate,party,candidatevotes,totalvotes,County Name,State Name,Males 18-24 %,Females 65+ %,White alone %,Black or African American alone %,"less than $39,999 %","more than $200,000 %",Regular high school diploma %,Master's degree %,In labor force %,Not in labor force %
2012,Arizona,AZ,Apache,BARACK OBAMA,DEMOCRAT,17147,25848,Apache County,Arizona,0.10815205202960305,0.12721860568630725,0.2398419391773018,0.0028903348320254685,0.5981087470449172,0.01034935644864723,0.27676680146350857,0.032808588484498365,0.452970582580273,0.547029417419727
2012,Arizona,AZ,Cochise,MITT ROMNEY,REPUBLICAN,29497,49003,Cochise County,Arizona,0.10651285964361057,0.18512468692148534,0.8028417150963254,0.039384371329642,0.4385209264526615,0.02086550182852499,0.18996678114971005,0.06729350824840943,0.5380912275328752,0.4619087724671248
2012,Arizona,AZ,Coconino,BARACK OBAMA,DEMOCRAT,29257,51731,Coconino County,Arizona,0.17457736831805387,0.0974815779349531,0.6262097887486848,0.013237719291699935,0.419965877772431,0.027625880397217726,0.1851098141606512,0.08890083448523012,0.6670740305522914,0.3329259694477086
2012,Arizona,AZ,Gila,MITT ROMNEY,REPUBLICAN,13455,21528,Gila County,Arizona,0.07857650181301634,0.24302042345887204,0.7913766000449135,0.004453926192080245,0.5231415164238084,0.007755001234872808,0.2710804118337026,0.048559885312133455,0.46688818127278603,0.533111818727214
2012,Arizona,AZ,Graham,MITT ROMNEY,REPUBLICAN,8076,11855,Graham County,Arizona,0.12364566613162119,0.1359217649455731,0.7536844941398356,0.020907988683820558,0.4562317251461988,0.013706140350877192,0.25774311347549705,0.043325368558676344,0.5060010812759056,0.4939989187240944
2012,Arizona,AZ,Greenlee,MITT ROMNEY,REPUBLICAN,1592,2974,Greenlee County,Arizona,0.08102108768035517,0.133594323464644,0.8624301675977654,0.009776536312849162,0.36784336991990507,0.004153070305547315,0.30671404525902374,0.03048438376659809,0.5970690198550268,0.4029309801449732
2012,Arizona,AZ,Maricopa,MITT ROMNEY,REPUBLICAN,749885,1376558,Maricopa County,Arizona,0.10318404690231751,0.1347024784612736,0.8107136228958209,0.05020616536073146,0.3633337113245454,0.043272148680347094,0.19737023526983377,0.07499802153709842,0.6507975407573782,0.3492024592426218
2012,Arizona,AZ,Mohave,MITT ROMNEY,REPUBLICAN,49168,70010,Mohave County,Arizona,0.07149709719213918,0.23727611455742356,0.8913257395038168,0.010033993320610687,0.5084437807230415,0.014423495737664115,0.2735013437174354,0.02869796522788351,0.4926984511866153,0.5073015488133846
2012,Arizona,AZ,Navajo,MITT ROMNEY,REPUBLICAN,19884,37335,Navajo County,Arizona,0.10008188179246688,0.14091171594105703,0.48671042219429317,0.008527673043802076,0.5215820116442481,0.011500846072217283,0.2421896557010148,0.04089891774228163,0.5207568590350047,0.47924314096499526
2012,Arizona,AZ,Pima,BARACK OBAMA,DEMOCRAT,201251,382250,Pima County,Arizona,0.11307553852406665,0.1697079413958188,0.7932924790632059,0.03654255449274653,0.44017460176482576,0.02999890286144185,0.19053351539492946,0.08260198245989436,0.6022412145080418,0.3977587854919582
